trade_date,open,high,low,close,volume
2021-09-13,7613.5404,7650.8787,7566.7758,7648.7481,26361861000.0000
2021-09-14,7630.7153,7688.6036,7544.0161,7556.6157,27150151200.0000
2021-09-15,7535.2511,7627.6702,7521.8772,7592.3059,23339841600.0000
2021-09-16,7616.8813,7657.2251,7445.2326,7446.9353,26764977900.0000
2021-09-17,7421.8050,7471.4190,7275.9829,7395.5645,23360422600.0000
2021-09-22,7305.0785,7453.9319,7298.0267,7453.6247,19679453400.0000
2021-09-23,7512.3311,7543.6595,7467.2021,7502.8391,24115869400.0000
2021-09-24,7490.5645,7490.5645,7373.2854,7380.3843,23171558200.0000
2021-09-27,7400.0047,7410.4669,7128.5116,7170.5899,23954240700.0000
2021-09-28,7158.6203,7227.4568,7155.2737,7198.8966,20280056700.0000
2021-09-29,7142.7611,7161.2117,6996.5724,7010.2192,21057070200.0000
2021-09-30,7034.6937,7116.0370,7034.6937,7103.6076,20248261200.0000
2021-10-08,7191.2254,7198.9614,7058.8310,7091.3356,20546770500.0000
2021-10-11,7102.8820,7123.7457,7048.8733,7090.4673,19542083900.0000
2021-10-12,7069.3516,7079.7053,6891.8448,6952.1903,20166672300.0000
2021-10-13,6957.7292,6991.2444,6887.3389,6981.5947,16260465500.0000
2021-10-14,6970.6469,7033.3956,6949.4809,7008.3326,15476466800.0000
2021-10-15,6996.1199,7034.0279,6975.2395,7024.1596,17410833900.0000
2021-10-18,7027.1401,7071.8702,6983.7158,7068.1048,17562701400.0000
2021-10-19,7060.7748,7127.2362,7051.7790,7120.3794,16813576400.0000
2021-10-20,7081.9851,7154.9089,7067.1346,7118.7959,17051134100.0000
2021-10-21,7127.6351,7145.5837,7069.4508,7098.2542,16797196700.0000
2021-10-22,7089.1349,7110.6570,7020.8705,7026.0676,17161515100.0000
2021-10-25,7019.0224,7105.9767,7003.7789,7103.9856,15900460300.0000
2021-10-26,7120.0662,7155.6280,7085.0685,7102.4335,17503220500.0000
2021-10-27,7093.1238,7097.8574,7017.8618,7048.6040,17902088700.0000
2021-10-28,7026.2937,7043.4168,6930.5413,6950.2768,18807533800.0000
2021-10-29,6955.8473,7022.7535,6920.3074,7022.4992,17077953300.0000
2021-11-01,7005.0693,7087.2923,6993.2700,7060.7560,18414299100.0000
2021-11-02,7061.0022,7093.6115,6921.8496,6985.0998,19611472800.0000
2021-11-03,6975.0635,7034.0916,6962.8685,7017.8541,15081464800.0000
2021-11-04,7031.9467,7073.8522,7018.6086,7073.8522,15265204900.0000
2021-11-05,7071.0831,7073.8516,6991.1519,6991.9077,17724139200.0000
2021-11-08,6986.4961,7034.1410,6984.8099,7026.9715,14636085700.0000
2021-11-09,7037.5733,7087.0231,7028.3131,7081.7539,14169684700.0000
2021-11-10,7061.6357,7072.1479,6965.8634,7062.3313,16213835400.0000
2021-11-11,7048.8625,7121.9221,7033.0881,7119.8589,16540069300.0000
2021-11-12,7118.9925,7165.1056,7112.5819,7156.6127,16851342300.0000
2021-11-15,7166.0372,7176.7701,7083.7783,7098.2129,16114820200.0000
2021-11-16,7083.9214,7121.7443,7040.5069,7045.9387,16237031600.0000
2021-11-17,7043.6330,7106.0537,7033.9529,7104.5344,14034710700.0000
2021-11-18,7108.7797,7130.2877,7066.4894,7084.6827,16271486000.0000
2021-11-19,7083.0066,7174.2512,7073.7170,7169.8759,17818585400.0000
2021-11-22,7177.4005,7259.5317,7177.4005,7255.0736,18052248000.0000
2021-11-23,7245.9455,7292.9170,7239.0001,7261.3791,18959503300.0000
2021-11-24,7260.2161,7278.3963,7229.6040,7256.1117,17767407200.0000
2021-11-25,7262.7934,7262.7934,7228.2913,7233.5423,16406809800.0000
2021-11-26,7216.6383,7249.1985,7201.1952,7219.8622,15942313700.0000
2021-11-29,7129.9393,7226.3391,7125.4296,7221.8978,16694140600.0000
2021-11-30,7252.3323,7281.1339,7210.8352,7252.7552,18633616300.0000
2021-12-01,7239.1277,7272.9398,7215.6723,7272.8370,17180629500.0000
2021-12-02,7256.4241,7279.9456,7221.3624,7229.9880,17655554400.0000
2021-12-03,7233.5723,7310.2748,7223.7957,7301.9173,18622273800.0000
2021-12-06,7308.9885,7330.4685,7235.4479,7240.4558,21306995200.0000
2021-12-07,7274.1261,7284.6445,7148.0679,7206.8257,19224385400.0000
2021-12-08,7224.9995,7302.9905,7214.2588,7302.9905,16928045300.0000
2021-12-09,7298.7955,7331.5838,7290.2680,7320.3177,19608716800.0000
2021-12-10,7285.9735,7317.2658,7276.6134,7306.6460,18723069500.0000
2021-12-13,7334.1100,7371.3100,7322.4381,7353.0306,18536306100.0000
2021-12-14,7330.2360,7349.8781,7314.4295,7324.1331,15958375300.0000
2021-12-15,7319.6641,7352.3790,7302.3831,7314.2586,15992392300.0000
2021-12-16,7323.4117,7380.9974,7323.4117,7380.9974,17769034000.0000
2021-12-17,7380.7202,7384.0175,7308.7215,7314.5601,19626533600.0000
2021-12-20,7290.9488,7313.4816,7191.0499,7195.9732,18172785300.0000
2021-12-21,7190.9728,7285.7209,7190.9728,7275.4675,17621674600.0000
2021-12-22,7289.9065,7318.6050,7271.8182,7302.4630,17411719000.0000
2021-12-23,7306.1587,7349.9951,7290.3792,7337.1900,16913176000.0000
2021-12-24,7335.9996,7339.9405,7257.5267,7278.7556,16941870200.0000
2021-12-27,7269.3700,7323.8760,7255.7163,7272.7493,14861878900.0000
2021-12-28,7281.0041,7290.5389,7240.9278,7286.0336,14326204000.0000
2021-12-29,7275.6736,7290.8597,7242.3024,7247.7741,13620955200.0000
2021-12-30,7246.0313,7324.4981,7244.2221,7310.9600,14165111100.0000
2021-12-31,7320.9363,7368.1297,7317.7047,7359.4024,14990900300.0000
2022-01-04,7387.8055,7392.1023,7317.5011,7354.4562,20081001800.0000
2022-01-05,7343.8995,7346.2621,7200.7314,7222.6747,19400240400.0000
2022-01-06,7187.9499,7242.7660,7167.8078,7229.9601,17333576500.0000
2022-01-07,7232.4087,7262.8050,7168.0396,7175.6760,20001801100.0000
2022-01-10,7161.4375,7193.9224,7122.0892,7191.4511,16574887800.0000
2022-01-11,7187.0155,7206.9187,7118.8378,7135.2232,16949456500.0000
2022-01-12,7160.1762,7196.9327,7148.6276,7196.9327,15605148300.0000
2022-01-13,7203.2434,7203.2434,7096.3251,7097.7594,16914896800.0000
2022-01-14,7063.4231,7125.0920,7052.6348,7081.1408,17559119800.0000
2022-01-17,7080.6157,7169.3446,7078.6629,7157.8593,16177971900.0000
2022-01-18,7163.1284,7191.0046,7133.1954,7163.1586,17923539100.0000
2022-01-19,7144.4768,7182.0623,7078.3609,7118.7620,16317836800.0000
2022-01-20,7119.5101,7135.7759,7040.0143,7056.7854,16866628200.0000
2022-01-21,7037.9389,7040.4250,6965.3330,6976.6155,14467978900.0000
2022-01-24,6942.9178,7006.7008,6925.7709,6979.2456,12267956400.0000
2022-01-25,6959.9950,6979.4830,6743.9566,6743.9566,15033724400.0000
2022-01-26,6762.3509,6799.8129,6721.8961,6782.5763,12061531000.0000
2022-01-27,6781.6081,6785.7265,6605.9159,6605.9159,12524375600.0000
2022-01-28,6690.1755,6690.1755,6510.1811,6580.5300,12708881900.0000
2022-02-07,6664.5682,6702.3323,6656.1312,6676.6122,14509261900.0000
2022-02-08,6678.9894,6742.4015,6599.3668,6742.1921,15959857500.0000
2022-02-09,6736.7511,6848.6947,6725.7983,6843.0271,16282272100.0000
2022-02-10,6841.1608,6864.6863,6797.0071,6840.4850,15491656500.0000
2022-02-11,6811.7797,6840.7212,6735.8940,6745.0235,15980135400.0000
2022-02-14,6711.5875,6765.5158,6667.4898,6695.6958,13708245900.0000
2022-02-15,6700.8179,6762.8586,6686.9491,6760.2776,11280576000.0000
2022-02-16,6779.2077,6788.3641,6751.8001,6772.0336,10841400300.0000
2022-02-17,6764.3343,6797.6154,6730.1804,6768.7888,12298508900.0000
2022-02-18,6734.5190,6835.2033,6727.8158,6835.0217,13995263800.0000
2022-02-21,6843.0844,6871.9925,6822.8758,6867.1129,14514631300.0000
2022-02-22,6827.0469,6827.0469,6743.8487,6784.7622,14860991500.0000
2022-02-23,6785.1032,6889.6961,6785.1032,6887.4236,14411662000.0000
2022-02-24,6861.4115,6898.4143,6688.7529,6764.8756,21084975500.0000
2022-02-25,6805.6374,6895.0443,6801.3265,6819.4311,15642913900.0000
2022-02-28,6831.4875,6853.3427,6770.0507,6853.3081,13960138800.0000
2022-03-01,6868.6218,6889.3312,6837.2469,6874.0447,13771721800.0000
2022-03-02,6853.0715,6878.3500,6828.0631,6875.2404,13711497800.0000
2022-03-03,6900.9773,6907.4088,6843.9865,6859.5522,18909178100.0000
2022-03-04,6823.8348,6871.0857,6779.4140,6803.8337,17741188200.0000
2022-03-07,6800.7674,6800.8159,6628.4825,6659.3902,16648459400.0000
2022-03-08,6650.5797,6665.9467,6416.8002,6429.8888,18629607900.0000
2022-03-09,6443.2024,6462.4778,6066.7635,6305.6093,19780274000.0000
2022-03-10,6424.9121,6475.1435,6390.7252,6414.9402,15315235500.0000
2022-03-11,6343.1858,6479.7207,6270.0233,6474.1269,15211450300.0000
2022-03-14,6419.2391,6490.6124,6323.5779,6323.5779,13795400500.0000
2022-03-15,6272.4432,6278.0688,5964.9813,5964.9813,19471374500.0000
2022-03-16,6068.8999,6173.7875,5824.3301,6156.2714,17882684700.0000
2022-03-17,6233.6437,6369.8884,6225.9795,6267.5244,17043854100.0000
2022-03-18,6249.4760,6338.2235,6231.7261,6332.2166,15262021400.0000
2022-03-21,6340.5589,6389.2103,6284.8526,6358.9430,15965372300.0000
2022-03-22,6343.4004,6404.8270,6313.2741,6358.1093,15110787400.0000
2022-03-23,6368.3126,6420.1586,6353.3361,6398.1009,14317935800.0000
2022-03-24,6370.9710,6384.4046,6315.1424,6344.1150,13774908600.0000
2022-03-25,6346.7106,6373.4658,6268.2376,6268.2376,13497225600.0000
2022-03-28,6230.1211,6322.1284,6176.2482,6283.2814,14485788700.0000
2022-03-29,6289.4756,6316.3129,6233.2822,6253.0692,14136212400.0000
2022-03-30,6272.0017,6377.8744,6261.8037,6377.8744,16401457500.0000
2022-03-31,6361.1036,6383.0744,6313.9663,6324.9609,17690394800.0000
2022-04-01,6289.3900,6373.2603,6274.0006,6364.5206,17512859600.0000
2022-04-06,6363.0020,6363.0020,6279.0719,6356.9271,19685358400.0000
2022-04-07,6321.8086,6364.6276,6221.5908,6221.5908,19076219200.0000
2022-04-08,6227.1952,6237.9145,6117.0139,6224.1167,18395489200.0000
2022-04-11,6202.0226,6202.0226,6001.5658,6029.8935,17838481200.0000
